goos: darwin
goarch: arm64
pkg: github.com/dan-strohschein/HVJson/hvjson
cpu: Apple M3 Pro
BenchmarkFastMarshalStruct-12         	 8971886	       135.2 ns/op	     224 B/op	       3 allocs/op
BenchmarkFastMarshalStruct-12         	 8837206	       135.6 ns/op	     224 B/op	       3 allocs/op
BenchmarkFastMarshalStruct-12         	 8818465	       134.8 ns/op	     224 B/op	       3 allocs/op
BenchmarkFastMarshalStruct-12         	 8804888	       141.1 ns/op	     224 B/op	       3 allocs/op
BenchmarkFastMarshalStruct-12         	 8840161	       134.4 ns/op	     224 B/op	       3 allocs/op
BenchmarkFastMarshalStruct-12         	 8864169	       136.2 ns/op	     224 B/op	       3 allocs/op
BenchmarkFastMarshalStruct-12         	 8725042	       135.9 ns/op	     224 B/op	       3 allocs/op
BenchmarkFastMarshalStruct-12         	 8800981	       135.4 ns/op	     224 B/op	       3 allocs/op
BenchmarkFastMarshalStruct-12         	 8808628	       136.2 ns/op	     224 B/op	       3 allocs/op
PASS
ok  	github.com/dan-strohschein/HVJson/hvjson	108.159s
